Cat#,Pit,Age,MaxLength,MidW,MidD,,,
G2767,10,9,88,10.4,7.8,81.12,9,0.921818182
G2766,10,9,94.5,11.8,9.3,109.74,9,1.161269841
G2764,10,9,93.9,11.1,9,99.9,9,1.063897764
G2765,10,9,87.8,9.9,7.8,77.22,9,0.879498861
G2769,10,9,88.5,11.56,9.9,114.444,9,1.293152542
D4687,61,11,87,12.5,11,137.5,11,1.58045977
D4707,61,11,94.5,14,10.5,147,11,1.555555556
D4758,61,11,90.5,10,9.5,95,11,1.049723757
D4689,61,11,88,11.2,9.7,108.64,11,1.234545455
D6613,67,11,96,10,10,100,11,1.041666667
C9454,4,14,89,10.5,9.5,99.75,14,1.120786517
C7167,4,14,92,11,9,99,14,1.076086957
C5255,4,14,95,13,10,130,14,1.368421053
C6558,4,14,95,10,12,120,14,1.263157895
C9537,4,14,96,12,10,120,14,1.25
C7816,4,14,88,11,10,110,14,1.25
C9914,4,14,90,12,10,120,14,1.333333333
D6533,4,14,91,12,10,120,14,1.318681319
C9062,4,14,97,13,10.3,133.9,14,1.380412371
C9871,4,14,92,12.5,10,125,14,1.358695652
D1055,4,14,95,13,11,143,14,1.505263158
C9284,4,14,88,8,6,48,14,0.545454545
C9936,4,14,100,13.2,10.5,138.6,14,1.386
D263,4,14,93.5,11,10,110,14,1.176470588
C5453,4,14,90,11,10,110,14,1.222222222
K3122,4,14,90,11.5,10,115,14,1.277777778
D995,4,14,96.5,12.2,10.6,129.32,14,1.340103627
C8952,4,14,88,10.7,9.8,104.86,14,1.191590909
C7314,4,14,91,11,9.2,101.2,14,1.112087912
C9881,4,14,98,12.2,10.1,123.22,14,1.257346939
D1057,4,14,89,10,9.5,95,14,1.06741573
C9035,4,14,91,12.5,9.5,118.75,14,1.304945055
C9684,4,14,93.5,12.2,10.5,128.1,14,1.370053476
C9378,4,14,87.7,13,10.5,136.5,14,1.556442417
C9324,4,14,96.5,13,10.8,140.4,14,1.45492228
C7798,4,14,94,12.5,10,125,14,1.329787234
C8947,4,14,90,10.7,9.3,99.51,14,1.105666667
C7097,4,14,91.3,12,10.5,126,14,1.380065717
C9937,4,14,91.8,10.5,9.5,99.75,14,1.086601307
C7472,4,14,91.1,11.3,10.1,114.13,14,1.252799122
D1058,4,14,96.2,12.1,11.1,134.31,14,1.396153846
C9953,4,14,95.8,10.8,10.6,114.48,14,1.194989562
C6234,4,14,92.7,10.1,9.3,93.93,14,1.013268608
C7995,4,14,90.6,10.9,9.6,104.64,14,1.154966887
G2762,4,14,89.3,10.6,10.3,109.18,14,1.222620381
C8565,4,14,94.3,10.4,9.5,98.8,14,1.047720042
C8288,4,14,94,10.3,10.3,106.09,14,1.128617021
C5981,4,14,90.7,10.2,9.2,93.84,14,1.034619625
C5254,4,14,90,11,9.7,106.7,14,1.185555556
C9818,4,14,93.2,11.1,9.9,109.89,14,1.179077253
C8359,4,14,91.8,10.9,9.4,102.46,14,1.116122004
C8045,4,14,94.6,12.2,9.4,114.68,14,1.212262156
C6870,4,14,95.9,12.1,9.6,116.16,14,1.211261731
C7041,4,14,91.3,11.5,9.6,110.4,14,1.209200438
D2475,4,14,91.9,10.1,8.4,84.84,14,0.923177367
D5140,13,16,100,13,12,156,16,1.56
D5089,13,16,93,11,10,110,16,1.182795699
D5251,13,16,97,13,11,143,16,1.474226804
D4881,13,16,91,11,10,110,16,1.208791209
D5919,13,16,85,12.5,8.5,106.25,16,1.25
D6245,13,16,94,14,10.5,147,16,1.563829787
D6377,13,16,92,11,9,99,16,1.076086957
D6337,13,16,90,12,10.5,126,16,1.4
D5281,13,16,94,13,9.5,123.5,16,1.313829787
D6201,13,16,99.5,12.5,11,137.5,16,1.381909548
D5332,13,16,90,11.5,10,115,16,1.277777778
D6073,13,16,99,13.5,11,148.5,16,1.5
D5285,13,16,89,12,9.5,114,16,1.280898876
D6369,13,16,95,12.5,11,137.5,16,1.447368421
D5446,13,16,92.8,13,9.9,128.7,16,1.386853448
D2480,13,16,91.2,13,9.9,128.7,16,1.411184211
D5689,13,16,94.5,14,11.5,161,16,1.703703704
D5898,13,16,94,12.2,10.5,128.1,16,1.362765957
D6582,13,16,96,15,10.2,153,16,1.59375
D5856,13,16,99,12.3,10,123,16,1.242424242
D5612,13,16,99.5,13,11,143,16,1.43718593
D6069,13,16,94,12,11,132,16,1.404255319
D5223,13,16,97.5,14.3,10,143,16,1.466666667
D4905,13,16,97.2,12.3,10,123,16,1.265432099
D5762,13,16,89.1,10.5,9,94.5,16,1.060606061
D6253,13,16,88,11.3,10.2,115.26,16,1.309772727
D6014,13,16,93.8,10.7,11.5,123.05,16,1.311833689
D6019,13,16,88,11,9.8,107.8,16,1.225
D5674,13,16,99.5,15.2,11.2,170.24,16,1.710954774
D5318,13,16,95,12.1,9.5,114.95,16,1.21
D6161,13,16,98,13,10.5,136.5,16,1.392857143
D5745,13,16,96,14,10,140,16,1.458333333
D6380,13,16,90,10.7,9.2,98.44,16,1.093777778
D6138,13,16,93,11.5,11,126.5,16,1.360215054
D5802,13,16,90,11.5,10.1,116.15,16,1.290555556
D4975,13,16,96.5,13,10,130,16,1.347150259
D5860,13,16,92.5,10.9,10,109,16,1.178378378
D6072,13,16,89,14.5,11.5,166.75,16,1.873595506
C5663,13,16,98.5,13,10.6,137.8,16,1.398984772
D6011,13,16,94,13.7,11,150.7,16,1.603191489
D5672,13,16,91.6,11,9,99,16,1.080786026
F11,13,16,94.1,11.7,9,105.3,16,1.119022317
D5650,13,16,94.7,14.5,11.2,162.4,16,1.714889124
D5366,13,16,96,14.1,11.2,157.92,16,1.645
D5241,13,16,100.2,13,10.5,136.5,16,1.362275449
D5696,13,16,95,11.5,10.5,120.75,16,1.271052632
D6147,13,16,96.2,10.9,9.1,99.19,16,1.031081081
D5686,13,16,97.6,13.9,11.5,159.85,16,1.637807377
D4940,13,16,99.5,12.2,9.8,119.56,16,1.20160804
D6124,13,16,92.6,11.5,12,138,16,1.490280778
D5906,13,16,95.9,12,8.8,105.6,16,1.101147028
D6597,13,16,99.1,12.5,10.2,127.5,16,1.286579213
D6142,13,16,91.5,10.1,8.6,86.86,16,0.949289617
D5614,13,16,91.1,10.2,9.1,92.82,16,1.018880351
D6230,13,16,93.4,12.6,9.2,115.92,16,1.24111349
D5477,13,16,98.9,13.3,10.9,144.97,16,1.465824065
D6559,13,16,95.2,13.3,9.5,126.35,16,1.327205882
D5109,13,16,94,11.2,9.7,108.64,16,1.155744681
D6132,13,16,95,13.7,10.6,145.22,16,1.528631579
D6162,13,16,90.8,11.4,9.6,109.44,16,1.205286344
D5606,13,16,96.5,13.3,10.9,144.97,16,1.502279793
D5603,13,16,91.8,11.8,10.4,122.72,16,1.336819172
D6013,13,16,101.2,11.8,10.1,119.18,16,1.177667984
D5908,13,16,98.2,13.1,10.1,132.31,16,1.347352342
D6259,13,16,93.3,10.9,10.5,114.45,16,1.226688103
D5737,13,16,96,11.5,9.8,112.7,16,1.173958333
D5153,13,16,93.9,12.1,10.1,122.21,16,1.301490948
D5985,13,16,90.7,11.5,9.7,111.55,16,1.229878721
D5203,13,16,97.1,12.5,9.8,122.5,16,1.261585994
D5423,13,16,99.4,13.2,11,145.2,16,1.460764588
D5248,13,16,93.3,10.5,10.3,108.15,16,1.159163987
D1345,3,18,95,14,11,154,18,1.621052632
D2822,3,18,96,15,11,165,18,1.71875
D1792,3,18,97,13,10,130,18,1.340206186
D2943,3,18,97,14,11,154,18,1.587628866
D1996,3,18,95,11.2,11.2,125.44,18,1.320421053
D2019,3,18,97,11.5,10,115,18,1.18556701
D2475,3,18,96,12,9.2,110.4,18,1.15
D2071,3,18,88,11,9.5,104.5,18,1.1875
D1990,3,18,88,9.9,9.8,97.02,18,1.1025
D2844,3,18,87.7,12.1,9.5,114.95,18,1.310718358
D2844,3,18,86.7,11.8,9.1,107.38,18,1.238523645
D2947,3,18,88,10.6,9.5,100.7,18,1.144318182
D1987,3,18,88.5,10,9.3,93,18,1.050847458
D3002,3,18,90.5,11.5,9.8,112.7,18,1.245303867
G2761,3,18,91.5,11.3,9,101.7,18,1.11147541
D2497,3,18,96.5,13,10.5,136.5,18,1.414507772
D1870,3,18,93.2,13.5,11,148.5,18,1.593347639
D1945,3,18,89.7,9.9,9.7,96.03,18,1.070568562
D2531,3,18,98.2,11.8,9.8,115.64,18,1.177596741
D4271,60,21,91,13,10,130,21,1.428571429
D3816,60,21,94,10.5,9,94.5,21,1.005319149
D3744,60,21,98,13,11,143,21,1.459183673
D3620,60,21,93,11,10,110,21,1.182795699
D4137,60,21,93.7,12.3,11.7,143.91,21,1.535859125
D4655,60,21,93.4,13.1,10.8,141.48,21,1.514775161
D4037,60,21,94.7,13.2,10.2,134.64,21,1.421752904
D4281,60,21,94.7,11.3,10,113,21,1.193241816
K5898,98,29,98.3,11.7,9.2,107.64,29,1.095015259
K5828,98,29,92.7,13.6,9.3,126.48,29,1.364401294
K5838,98,29,98.2,12.1,9,108.9,29,1.108961303
K5833,98,29,88.5,10.9,8.1,88.29,29,0.997627119
K5840,98,29,96.6,12.1,10.1,122.21,29,1.265113872
K5830,98,29,102.2,11.9,10.4,123.76,29,1.210958904
D6891,77,35,90.5,10.5,9.5,99.75,35,1.102209945
D6754,77,35,86.5,10.7,9,96.3,35,1.113294798
D6844,77,35,99,14.5,10.5,152.25,35,1.537878788
,,21,93.97142857,,,,9,1.063927438
,,35,92,,,,35,1.251127843
,,29,96.08333333,,,,29,1.173679625
,,18,92.60526316,,,,21,1.342687369
,,16,94.4915493,,,,18,1.294798188
,,14,92.51555556,,,,16,1.339248832
,,9,90.54,,,,14,1.219382317
,,11,91.2,,,,11,1.292390241
